,property,propertyLabel
139,http://dbpedia.org/property/hyper,Hyper
140,http://dbpedia.org/property/oxmuk,OXMUK
141,http://dbpedia.org/property/pcguk,PCGUK
142,http://dbpedia.org/property/pcpp,PCPP
143,http://dbpedia.org/property/pczone,PCZone
144,http://dbpedia.org/property/poly,Poly
145,http://dbpedia.org/property/rev1Sms,rev1 SMS
146,http://dbpedia.org/property/rev3Smd,rev3 SMD
147,http://dbpedia.org/property/rev4Smd,rev4 SMD
148,http://dbpedia.org/ontology/wikiPageLength,page length (characters) of wiki page
149,http://dbpedia.org/ontology/completionDate,completion date
150,http://dbpedia.org/ontology/foundingDate,founding date
151,http://dbpedia.org/ontology/foundingYear,founding year
152,http://dbpedia.org/ontology/numberOfEmployees,number of employees
153,http://dbpedia.org/ontology/numberOfEpisodes,number of episodes
154,http://dbpedia.org/ontology/numberOfLocations,number of locations
155,http://dbpedia.org/ontology/numberOfSeasons,number of seasons
156,http://dbpedia.org/ontology/releaseDate,release date
157,http://dbpedia.org/ontology/subtitle,subtitle
158,http://dbpedia.org/ontology/company,company
159,http://dbpedia.org/ontology/composer,composer
160,http://dbpedia.org/ontology/computingPlatform,computing platform
161,http://dbpedia.org/ontology/creator,creator (agent)
162,http://dbpedia.org/ontology/designer,designer
163,http://dbpedia.org/ontology/developer,developer
164,http://dbpedia.org/ontology/executiveProducer,executive producer
165,http://dbpedia.org/ontology/format,format (object)
166,http://dbpedia.org/ontology/foundedBy,founded by
167,http://dbpedia.org/ontology/gameEngine,Game Engine
168,http://dbpedia.org/ontology/genre,genre
169,http://purl.org/linguistics/gold/hypernym,
170,http://dbpedia.org/property/wordnet_type,
171,http://www.w3.org/ns/prov#wasDerivedFrom,
172,http://dbpedia.org/ontology/industry,industry
173,http://dbpedia.org/ontology/network,network
174,http://dbpedia.org/ontology/parentCompany,parent company
175,http://dbpedia.org/ontology/product,product
176,http://dbpedia.org/ontology/publisher,publisher
177,http://dbpedia.org/ontology/series,series
178,http://dbpedia.org/ontology/starring,starring
179,http://dbpedia.org/ontology/type,type
180,http://dbpedia.org/ontology/writer,auteur
181,http://xmlns.com/foaf/0.1/isPrimaryTopicOf,
182,http://dbpedia.org/ontology/birthPlace,birth place
183,http://dbpedia.org/property/birthPlace,birth place
184,http://dbpedia.org/ontology/birthDate,birth date
185,http://dbpedia.org/property/sizepopulation,sizepopulation
186,http://dbpedia.org/property/stations,stations
187,http://dbpedia.org/property/stationtype,stationtype
188,http://dbpedia.org/property/subdivname,subdivname
189,http://dbpedia.org/property/subdivtype,subdivtype
190,http://dbpedia.org/property/sworn,sworn
191,http://dbpedia.org/property/sworntype,sworntype
192,http://dbpedia.org/property/unitname,unitname
193,http://dbpedia.org/property/unittype,unittype
194,http://dbpedia.org/property/unsworn,unsworn
195,http://dbpedia.org/property/unsworntype,unsworntype
196,http://dbpedia.org/property/voice,voice
197,http://dbpedia.org/property/xplay,XPlay
198,http://dbpedia.org/property/vehicles,vehicles
199,http://dbpedia.org/property/weapon,weapon
200,http://dbpedia.org/property/abbreviation,abbreviation
201,http://dbpedia.org/property/affiliation,affiliation
202,http://dbpedia.org/property/alias,alias
203,http://dbpedia.org/property/almaMater,alma mater
204,http://dbpedia.org/property/alt,alt
205,http://dbpedia.org/property/basedOn,based on
206,http://dbpedia.org/property/birthDate,birth date
207,http://dbpedia.org/property/birthName,birth name
208,http://dbpedia.org/property/boats,boats
209,http://dbpedia.org/property/budget,budget
210,http://dbpedia.org/property/children,children
211,http://dbpedia.org/property/distributor,distributor
212,http://dbpedia.org/property/edge,Edge
213,http://dbpedia.org/property/editor,editor
214,http://dbpedia.org/property/education,education
215,http://dbpedia.org/property/employees,employees
216,http://dbpedia.org/property/eurog,EuroG
217,http://dbpedia.org/property/family,family
218,http://dbpedia.org/property/fate,fate
219,http://dbpedia.org/property/fields,fields
220,http://dbpedia.org/property/first,first
221,http://dbpedia.org/property/flag,Flag
222,http://dbpedia.org/property/footer,footer
223,http://dbpedia.org/property/formed,formed
224,http://dbpedia.org/property/founded,founded
225,http://dbpedia.org/property/founder,founder
226,http://dbpedia.org/property/gender,gender
227,http://dbpedia.org/property/headquarters,headquarters
228,http://dbpedia.org/property/homepage,homepage
229,http://dbpedia.org/property/image,image
230,http://dbpedia.org/property/imageSize,image size
231,http://dbpedia.org/property/jxv,JXV
232,http://dbpedia.org/property/keyPeople,key people
233,http://dbpedia.org/property/listEpisodes,list episodes
234,http://dbpedia.org/property/location,location
235,http://dbpedia.org/property/motto,motto
236,http://dbpedia.org/property/nationality,nationality
237,http://dbpedia.org/property/np,NP
